User_ID,Customer_Name,Gender,Email,Phone,Address,Postal Code,Location
SD-USR10099,Alanis Maretha,Female,Ala-099@gmail.com,086041905,Jl. Simponi,12820,Jakarta
SD-USR100100,Ilyas Jibrail,Male,Ily-100@gmail.com,086051906,Jl. Kelapa Cengkir Barat IV,11410,Jawa barat
SD-USR100101,Mahardika Putra,Male,Mah-101@gmail.com,086061907,Jl. Maengket,12820,Jakarta
SD-USR100102,Louis Aranguren,Male,Lou-102@gmail.com,086071908,Jl. Kelapa Lilin 8,12820,Jakarta
SD-USR100103,Putri Susanti,Female,Put-103@gmail.com,086081909,Jl. Maramba,12820,Jakarta
SD-USR100104,Ahmad Albar,Male,Ahm-104@gmail.com,086091910,Jl. Tarian Raya,12820,Jakarta
SD-USR100105,Bing Slamet,Male,Bin-105@gmail.com,086101911,Jl. Sumagung II,12820,Jakarta
SD-USR100106,Elvi Sukaesih,Female,Elv-106@gmail.com,086111912,Jl. Perintis Kemerdekaan,12820,Jakarta
SD-USR100107,Afgansyah Reza,Male,Afg-107@gmail.com,086121913,Jl. Perintis Kemerdekaan,12820,Jakarta
SD-USR100108,Gito Rollies,Female,Git-108@gmail.com,086131914,Jl. Gading Raya,12820,Jakarta
SD-USR100109,Armand Maulana,Male,Arm-109@gmail.com,086141915,Jl. Gading Raya,12820,Jakarta
SD-USR100110,Fadly Padi,Female,Fad-110@gmail.com,086151916,Jl. Taska,12820,Jakarta
SD-USR100111,Oslan Husein,Male,Osl-111@gmail.com,086161917,Jl. Kelapa Puan Timur I,12820,Jakarta
SD-USR100112,Melly Goeslaw,Female,Mel-112@gmail.com,086171918,Jl. Janur Elok I,12820,Jakarta
SD-USR100113,Ebiet G Ade,Male,Ebi-113@gmail.com,086181919,Jl. Bongo IV,12820,Jakarta
SD-USR100114,Nicky Astria,Female,Nic-114@gmail.com,086191920,Jl. H. Oyar,12820,Jakarta
SD-USR100115,Ruth Sahanaya,Female,Rut-115@gmail.com,086201921,Jl. Janur Elok Raya,12820,Jakarta
SD-USR100116,Utha Likumahuwa,Female,Uth-116@gmail.com,086211922,Jl. Jampea,12820,Jakarta
SD-USR100117,Glenn Fredly,Male,Gle-117@gmail.com,086221923,Jl. Yos Sudarso,12820,Jakarta
SD-USR100118,Roy Jeconiah,Male,Roy-118@gmail.com,086231924,Jl. Alur Laut,12820,Jakarta
SD-USR100119,Millane Fernandez,Female,Mil-119@gmail.com,086241925,Jl. Yos Sudarso,11410,Jawa barat
SD-USR100120,Frans Rizky Aditya,Male,Fra-120@gmail.com,086251926,Jl. Deli,11410,Jawa barat
SD-USR100121,Bornok Hutauruk,Male,Bor-121@gmail.com,086261927,Jl.Yos Sudarso,11410,Jawa barat
